Using /tmp/report_matmul_mlircuda_1024x5x1.sqlite for SQL queries.
Running [/usr/local/cuda-11.4/nsight-systems-2021.2.4/target-linux-x64/reports/gputrace.py /tmp/report_matmul_mlircuda_1024x5x1.sqlite]... 

Start(sec),Duration(nsec),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem,DymSMem,Bytes,Thru(MB/s),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
0.270410,2208,0,,,,,,,,,,4096,1855.072,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.270541,3488,0,,,,,,,,,,4096,1174.312,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.270571,1952,0,,,,,,,,,,4096,2098.361,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.270699,5504,0,,,,,,,,,,24576,4465.116,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.271100,172767,18,1,512,1,64,1,1,44,1032,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.271247,3423,0,,,,,,,,,,4096,1196.611,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.271250,6816,0,,,,,,,,,,36864,5408.451,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.271370,6304,28,1,512,1,64,1,1,44,1032,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.271462,6368,39,1,512,1,64,1,1,44,1032,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.271540,6304,50,1,512,1,64,1,1,44,1032,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.271629,6400,61,1,512,1,64,1,1,44,1032,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.271704,6304,72,1,512,1,64,1,1,44,1032,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.271772,6336,83,1,512,1,64,1,1,44,1032,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.271852,6336,94,1,512,1,64,1,1,44,1032,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.271921,6336,105,1,512,1,64,1,1,44,1032,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.271990,6304,116,1,512,1,64,1,1,44,1032,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.272056,6400,127,1,512,1,64,1,1,44,1032,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.272150,6304,138,1,512,1,64,1,1,44,1032,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.272222,6368,149,1,512,1,64,1,1,44,1032,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.272295,6304,160,1,512,1,64,1,1,44,1032,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.272357,6336,171,1,512,1,64,1,1,44,1032,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.272428,6336,182,1,512,1,64,1,1,44,1032,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.272499,6400,193,1,512,1,64,1,1,44,1032,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.272940,6304,204,1,512,1,64,1,1,44,1032,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.273024,6720,215,1,512,1,64,1,1,44,1032,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.273096,6304,226,1,512,1,64,1,1,44,1032,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.273163,6368,237,1,512,1,64,1,1,44,1032,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.273234,6304,248,1,512,1,64,1,1,44,1032,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.273300,6368,259,1,512,1,64,1,1,44,1032,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.273362,6304,270,1,512,1,64,1,1,44,1032,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.273439,6368,281,1,512,1,64,1,1,44,1032,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.273507,6304,292,1,512,1,64,1,1,44,1032,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
