Using /tmp/report_matmul_tvmcuda_1024x5x1.sqlite for SQL queries.
Running [/usr/local/cuda-11.4/nsight-systems-2021.2.4/target-linux-x64/reports/gputrace.py /tmp/report_matmul_tvmcuda_1024x5x1.sqlite]... 

Start(sec),Duration(nsec),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem,DymSMem,Bytes,Thru(MB/s),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
0.292650,2368,210,,,,,,,,,,4096,1729.730,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
0.292748,1664,217,,,,,,,,,,20,12.019,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
0.294500,5536,227,8,1,1,32,1,1,42,532,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.294519,4320,230,8,1,1,32,1,1,42,532,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.294528,3936,233,8,1,1,32,1,1,42,532,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.294533,3936,236,8,1,1,32,1,1,42,532,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.294540,3904,239,8,1,1,32,1,1,42,532,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.294546,3936,242,8,1,1,32,1,1,42,532,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.294551,3936,245,8,1,1,32,1,1,42,532,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.294556,3936,248,8,1,1,32,1,1,42,532,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.294930,3936,251,8,1,1,32,1,1,42,532,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.294937,3936,254,8,1,1,32,1,1,42,532,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.294942,3904,257,8,1,1,32,1,1,42,532,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.294947,3968,260,8,1,1,32,1,1,42,532,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.294953,3936,263,8,1,1,32,1,1,42,532,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.294958,3936,266,8,1,1,32,1,1,42,532,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.294964,3936,269,8,1,1,32,1,1,42,532,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.294970,3936,272,8,1,1,32,1,1,42,532,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.294975,3936,275,8,1,1,32,1,1,42,532,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.294981,3904,278,8,1,1,32,1,1,42,532,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.294993,3904,281,8,1,1,32,1,1,42,532,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.295013,3936,284,8,1,1,32,1,1,42,532,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.295019,3936,287,8,1,1,32,1,1,42,532,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.295025,3968,290,8,1,1,32,1,1,42,532,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
