Using /tmp/report_matmul_mlircuda_1x5x1024.sqlite for SQL queries.
Running [/usr/local/cuda-11.4/nsight-systems-2021.2.4/target-linux-x64/reports/gputrace.py /tmp/report_matmul_mlircuda_1x5x1024.sqlite]... 

Start(sec),Duration(nsec),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem,DymSMem,Bytes,Thru(MB/s),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
0.277781,2208,0,,,,,,,,,,4096,1855.072,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.277992,5152,0,,,,,,,,,,20480,3975.155,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.278027,1983,0,,,,,,,,,,4096,2065.557,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.278029,2336,0,,,,,,,,,,16384,7013.699,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.278146,3455,0,,,,,,,,,,4096,1185.528,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.278496,211200,18,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.278621,4671,0,,,,,,,,,,8192,1753.800,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.278626,4703,0,,,,,,,,,,16384,3483.734,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.278631,7392,0,,,,,,,,,,36864,4987.013,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.278802,53664,28,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.278940,53632,39,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.279072,53664,50,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.279197,53632,61,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.279326,53631,72,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.279470,53664,83,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.279589,53664,94,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.279709,53632,105,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.279845,53632,116,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.279967,53664,127,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.280081,53664,138,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.280192,53664,149,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.280305,53632,160,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.280427,53664,171,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.280547,53663,182,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.280665,53632,193,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.281087,53632,204,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.281203,53664,215,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.281337,53664,226,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.281464,53632,237,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.281578,53664,248,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.281690,53664,259,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.281799,53664,270,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.281909,53632,281,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.282025,53631,292,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.282139,53600,303,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.282271,53664,314,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.282391,53632,325,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.282505,53632,336,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.282621,53663,347,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.282740,53632,358,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.282857,53632,369,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.282976,53632,380,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.283085,53632,391,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.283198,53664,402,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.283308,53664,413,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.283434,53664,424,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.283551,53663,435,5,1,1,1,5,1,26,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
