Using /tmp/report_matmul_tvmcuda_1x5x1024.sqlite for SQL queries.
Running [/usr/local/cuda-11.4/nsight-systems-2021.2.4/target-linux-x64/reports/gputrace.py /tmp/report_matmul_tvmcuda_1x5x1024.sqlite]... 

Start(sec),Duration(nsec),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem,DymSMem,Bytes,Thru(MB/s),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
0.293413,2432,210,,,,,,,,,,4096,1684.211,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
0.293486,3904,217,,,,,,,,,,20480,5245.902,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
0.296681,13792,227,1,1,1,5,1,1,254,24576,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.296700,12960,230,1,1,1,5,1,1,254,24576,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.296714,12640,233,1,1,1,5,1,1,254,24576,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.296727,12704,236,1,1,1,5,1,1,254,24576,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.296741,12672,239,1,1,1,5,1,1,254,24576,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.296754,12640,242,1,1,1,5,1,1,254,24576,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.296768,12640,245,1,1,1,5,1,1,254,24576,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.296782,12672,248,1,1,1,5,1,1,254,24576,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.297111,12640,251,1,1,1,5,1,1,254,24576,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.297124,12672,254,1,1,1,5,1,1,254,24576,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.297138,12672,257,1,1,1,5,1,1,254,24576,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.297151,12672,260,1,1,1,5,1,1,254,24576,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.297165,12672,263,1,1,1,5,1,1,254,24576,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.297178,12672,266,1,1,1,5,1,1,254,24576,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.297192,12671,269,1,1,1,5,1,1,254,24576,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.297206,12800,272,1,1,1,5,1,1,254,24576,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
