Using /tmp/report_matmul_mlircuda_512x1024x16.sqlite for SQL queries.
Running [/usr/local/cuda-11.4/nsight-systems-2021.2.4/target-linux-x64/reports/gputrace.py /tmp/report_matmul_mlircuda_512x1024x16.sqlite]... 

Start(sec),Duration(nsec),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem,DymSMem,Bytes,Thru(MB/s),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
0.275163,2303,0,,,,,,,,,,4096,1778.550,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.275165,4064,0,,,,,,,,,,28672,7055.118,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.275331,7776,0,,,,,,,,,,32768,4213.992,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.275365,2015,0,,,,,,,,,,4096,2032.754,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.275367,3296,0,,,,,,,,,,28672,8699.029,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.275477,2143,0,,,,,,,,,,4096,1911.339,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.275479,3488,0,,,,,,,,,,28672,8220.183,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.275997,256479,18,8,16,1,32,8,1,84,10240,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.276123,6815,0,,,,,,,,,,20480,3005.136,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.276130,7104,0,,,,,,,,,,45056,6342.342,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.276217,6079,0,,,,,,,,,,32768,5390.360,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.276223,6240,0,,,,,,,,,,32768,5251.282,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.276388,9888,28,8,16,1,32,8,1,84,10240,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.276534,7872,39,8,16,1,32,8,1,84,10240,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.276679,7872,50,8,16,1,32,8,1,84,10240,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.276847,9728,61,8,16,1,32,8,1,84,10240,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.276976,8288,72,8,16,1,32,8,1,84,10240,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.277111,9920,83,8,16,1,32,8,1,84,10240,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.277230,9056,94,8,16,1,32,8,1,84,10240,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.277350,10112,105,8,16,1,32,8,1,84,10240,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.277462,9504,116,8,16,1,32,8,1,84,10240,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.277592,9728,127,8,16,1,32,8,1,84,10240,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.277715,9952,138,8,16,1,32,8,1,84,10240,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.277834,9952,149,8,16,1,32,8,1,84,10240,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.277948,9984,160,8,16,1,32,8,1,84,10240,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.278058,9280,171,8,16,1,32,8,1,84,10240,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.278166,9152,182,8,16,1,32,8,1,84,10240,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.278274,10784,193,8,16,1,32,8,1,84,10240,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.278757,9984,204,8,16,1,32,8,1,84,10240,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.278868,10624,215,8,16,1,32,8,1,84,10240,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.278982,10432,226,8,16,1,32,8,1,84,10240,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.279091,8800,237,8,16,1,32,8,1,84,10240,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.279195,8960,248,8,16,1,32,8,1,84,10240,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.279305,10656,259,8,16,1,32,8,1,84,10240,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.279418,10688,270,8,16,1,32,8,1,84,10240,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
