Using /tmp/report_matmul_mlircuda_1x1024x5.sqlite for SQL queries.
Running [/usr/local/cuda-11.4/nsight-systems-2021.2.4/target-linux-x64/reports/gputrace.py /tmp/report_matmul_mlircuda_1x1024x5.sqlite]... 

Start(sec),Duration(nsec),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem,DymSMem,Bytes,Thru(MB/s),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
0.270475,2208,0,,,,,,,,,,4096,1855.072,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.270658,5376,0,,,,,,,,,,24576,4571.429,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.270690,1951,0,,,,,,,,,,4096,2099.436,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.270692,2624,0,,,,,,,,,,20480,7804.878,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.270804,3808,0,,,,,,,,,,8192,2151.261,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.271106,174624,18,8,1,1,32,1,1,31,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.271243,4703,0,,,,,,,,,,16384,3483.734,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.271248,3423,0,,,,,,,,,,4096,1196.611,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.271251,6432,0,,,,,,,,,,36864,5731.343,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.271367,3488,28,8,1,1,32,1,1,31,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.271467,3488,39,8,1,1,32,1,1,31,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.271535,3488,50,8,1,1,32,1,1,31,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.271609,3488,61,8,1,1,32,1,1,31,0,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
