Using /tmp/report_matmul_mlircuda_1024x1024x1.sqlite for SQL queries.
Running [/usr/local/cuda-11.4/nsight-systems-2021.2.4/target-linux-x64/reports/gputrace.py /tmp/report_matmul_mlircuda_1024x1024x1.sqlite]... 

Start(sec),Duration(nsec),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem,DymSMem,Bytes,Thru(MB/s),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
0.274478,2240,0,,,,,,,,,,4096,1828.571,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.274621,3424,0,,,,,,,,,,4096,1196.262,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.274650,1984,0,,,,,,,,,,4096,2064.516,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.275049,252383,18,8,32,1,32,8,1,48,640,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.275265,3903,0,,,,,,,,,,4096,1049.449,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.275269,8704,0,,,,,,,,,,61440,7058.824,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.275425,8672,28,8,32,1,32,8,1,48,640,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.275599,16320,39,8,32,1,32,8,1,48,640,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.275791,16352,50,8,32,1,32,8,1,48,640,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.275950,15712,61,8,32,1,32,8,1,48,640,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.276094,15904,72,8,32,1,32,8,1,48,640,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.276238,16864,83,8,32,1,32,8,1,48,640,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.276377,16448,94,8,32,1,32,8,1,48,640,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.276533,16799,105,8,32,1,32,8,1,48,640,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.276674,16064,116,8,32,1,32,8,1,48,640,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.276838,16448,127,8,32,1,32,8,1,48,640,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.276997,16863,138,8,32,1,32,8,1,48,640,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.277150,16192,149,8,32,1,32,8,1,48,640,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.277302,16768,160,8,32,1,32,8,1,48,640,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
