Using /tmp/report_matmul_tvmcuda_1x1024x5.sqlite for SQL queries.
Running [/usr/local/cuda-11.4/nsight-systems-2021.2.4/target-linux-x64/reports/gputrace.py /tmp/report_matmul_tvmcuda_1x1024x5.sqlite]... 

Start(sec),Duration(nsec),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem,DymSMem,Bytes,Thru(MB/s),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
0.292675,2304,210,,,,,,,,,,20,8.681,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
0.292751,3904,217,,,,,,,,,,20480,5245.902,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
0.294902,4704,227,1,1,1,256,1,1,49,20500,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.294918,4224,230,1,1,1,256,1,1,49,20500,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.294927,3904,233,1,1,1,256,1,1,49,20500,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.294940,3872,236,1,1,1,256,1,1,49,20500,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.294947,3904,239,1,1,1,256,1,1,49,20500,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.294953,3904,242,1,1,1,256,1,1,49,20500,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.294958,3904,245,1,1,1,256,1,1,49,20500,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.294965,3936,248,1,1,1,256,1,1,49,20500,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.294970,3904,251,1,1,1,256,1,1,49,20500,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
