Using /tmp/report_matmul_mlircuda_16x1024x512.sqlite for SQL queries.
Running [/usr/local/cuda-11.4/nsight-systems-2021.2.4/target-linux-x64/reports/gputrace.py /tmp/report_matmul_mlircuda_16x1024x512.sqlite]... 

Start(sec),Duration(nsec),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem,DymSMem,Bytes,Thru(MB/s),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
0.292921,2207,0,,,,,,,,,,4096,1855.913,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.292923,4256,0,,,,,,,,,,28672,6736.842,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.293113,2111,0,,,,,,,,,,4096,1940.313,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.293115,6688,0,,,,,,,,,,61440,9186.603,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.293273,2143,0,,,,,,,,,,4096,1911.339,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.293276,5952,0,,,,,,,,,,61440,10322.581,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.293370,2143,0,,,,,,,,,,4096,1911.339,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.293372,11168,0,,,,,,,,,,126976,11369.628,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.293493,2143,0,,,,,,,,,,4096,1911.339,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.293495,20864,0,,,,,,,,,,258048,12368.098,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.293740,2175,0,,,,,,,,,,4096,1883.218,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.293742,40928,0,,,,,,,,,,520192,12709.930,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.294137,2143,0,,,,,,,,,,4096,1911.339,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.294139,81312,0,,,,,,,,,,1044480,12845.336,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy DtoH]
0.294681,7744,0,,,,,,,,,,32768,4231.405,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.295063,961276,18,4,1,1,64,2,1,164,34816,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.295227,7968,0,,,,,,,,,,32768,4112.450,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.295261,5311,0,,,,,,,,,,24576,4627.377,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.295267,6912,0,,,,,,,,,,40960,5925.926,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.295322,3871,0,,,,,,,,,,8192,2116.249,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.295326,8384,0,,,,,,,,,,57344,6839.695,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.295425,10079,0,,,,,,,,,,81920,8127.790,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.295435,5215,0,,,,,,,,,,8192,1570.853,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.295441,6560,0,,,,,,,,,,40960,6243.902,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.295505,10143,0,,,,,,,,,,81920,8076.506,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.295515,5119,0,,,,,,,,,,8192,1600.313,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.295520,17312,0,,,,,,,,,,172032,9937.153,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.295651,10015,0,,,,,,,,,,81920,8179.730,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.295661,3903,0,,,,,,,,,,8192,2098.898,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.295665,39583,0,,,,,,,,,,434176,10968.749,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.295851,8031,0,,,,,,,,,,32768,4080.189,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.295859,3871,0,,,,,,,,,,8192,2116.249,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.295862,6623,0,,,,,,,,,,40960,6184.509,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.295869,5023,0,,,,,,,,,,16384,3261.796,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.295874,10495,0,,,,,,,,,,8192,780.562,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.295885,3743,0,,,,,,,,,,8192,2188.619,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.295888,80672,0,,,,,,,,,,933888,11576.359,,,Tesla V100-SXM2-16GB (0),0,0,[CUDA Unified Memory memcpy HtoD]
0.296166,75936,28,4,1,1,64,2,1,164,34816,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.296323,75776,39,4,1,1,64,2,1,164,34816,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.296464,75776,50,4,1,1,64,2,1,164,34816,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.296613,75776,61,4,1,1,64,2,1,164,34816,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.296755,75776,72,4,1,1,64,2,1,164,34816,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.296888,75776,83,4,1,1,64,2,1,164,34816,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.297030,75776,94,4,1,1,64,2,1,164,34816,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.297164,75744,105,4,1,1,64,2,1,164,34816,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.297328,76128,116,4,1,1,64,2,1,164,34816,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.297890,75872,127,4,1,1,64,2,1,164,34816,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.298045,75776,138,4,1,1,64,2,1,164,34816,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.298183,75776,149,4,1,1,64,2,1,164,34816,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.298337,75776,160,4,1,1,64,2,1,164,34816,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.298472,75808,171,4,1,1,64,2,1,164,34816,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.298617,75840,182,4,1,1,64,2,1,164,34816,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.298758,75744,193,4,1,1,64,2,1,164,34816,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.298908,75776,204,4,1,1,64,2,1,164,34816,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
0.299058,75776,215,4,1,1,64,2,1,164,34816,0,,,,,Tesla V100-SXM2-16GB (0),1,14,matmul_dispatch_0
