Using /tmp/report_matmul_tvmcuda_1024x1024x1.sqlite for SQL queries.
Running [/usr/local/cuda-11.4/nsight-systems-2021.2.4/target-linux-x64/reports/gputrace.py /tmp/report_matmul_tvmcuda_1024x1024x1.sqlite]... 

Start(sec),Duration(nsec),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem,DymSMem,Bytes,Thru(MB/s),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
0.296724,2400,210,,,,,,,,,,4096,1706.667,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
0.296791,2112,217,,,,,,,,,,4096,1939.394,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
0.298799,11232,227,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.298816,6848,230,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.298825,6624,233,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.298832,6368,236,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.298840,6368,239,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.298851,6368,242,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.298858,6304,245,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.298865,6336,248,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.298873,6432,251,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.298880,6368,254,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.298887,6400,257,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.298895,6432,260,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.298902,6304,263,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.298909,6304,266,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.298916,6336,269,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.298924,6592,272,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.298931,6752,275,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.298939,6368,278,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.298946,6400,281,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.298954,6336,284,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.298961,6367,287,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.298968,6368,290,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.298976,6368,293,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.298983,6400,296,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.298990,6400,299,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.298998,6368,302,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.299005,6432,305,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.299012,6368,308,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.299020,6368,311,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.299027,6368,314,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.299034,6272,317,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.299042,6368,320,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.299049,6368,323,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.299056,6592,326,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.299064,6336,329,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.299071,6400,332,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.299078,6368,335,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.299086,6336,338,256,1,1,128,1,1,32,512,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
