Using /tmp/report_matmul_tvmcuda_512x1024x16.sqlite for SQL queries.
Running [/usr/local/cuda-11.4/nsight-systems-2021.2.4/target-linux-x64/reports/gputrace.py /tmp/report_matmul_tvmcuda_512x1024x16.sqlite]... 

Start(sec),Duration(nsec),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem,DymSMem,Bytes,Thru(MB/s),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
0.292979,5280,210,,,,,,,,,,32768,6206.061,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
0.293072,8832,217,,,,,,,,,,65536,7420.290,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
0.296037,9280,227,128,1,1,128,1,1,72,4096,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.296056,6816,230,128,1,1,128,1,1,72,4096,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.296066,6240,233,128,1,1,128,1,1,72,4096,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.296090,6240,236,128,1,1,128,1,1,72,4096,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.296105,6336,239,128,1,1,128,1,1,72,4096,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.296114,6368,242,128,1,1,128,1,1,72,4096,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.296121,6240,245,128,1,1,128,1,1,72,4096,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.296128,6208,248,128,1,1,128,1,1,72,4096,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.296520,6240,251,128,1,1,128,1,1,72,4096,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.296527,6272,254,128,1,1,128,1,1,72,4096,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.296534,6208,257,128,1,1,128,1,1,72,4096,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.296541,6272,260,128,1,1,128,1,1,72,4096,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.296548,6336,263,128,1,1,128,1,1,72,4096,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.296555,6240,266,128,1,1,128,1,1,72,4096,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.296562,6208,269,128,1,1,128,1,1,72,4096,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.296570,6208,272,128,1,1,128,1,1,72,4096,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
